ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
5004,fat_-49,,,data,323,FAT (ORGANIC SUBSTANCE)
5005,fat_-50,,,data,323,FAT (ORGANIC SUBSTANCE)
5006,fat_-51,,,data,323,FAT (ORGANIC SUBSTANCE)
5007,fat_-52,,,data,323,FAT (ORGANIC SUBSTANCE)
5008,fat_-53,,,data,323,FAT (ORGANIC SUBSTANCE)
5009,fat_-54,,,data,323,FAT (ORGANIC SUBSTANCE)
5010,fat_-55,,,data,323,FAT (ORGANIC SUBSTANCE)
5011,fat_-56,,,data,323,FAT (ORGANIC SUBSTANCE)
5012,fat_-57,,,data,323,FAT (ORGANIC SUBSTANCE)
5013,fat_-58,,,data,323,FAT (ORGANIC SUBSTANCE)
5014,fat_-59,,,data,323,FAT (ORGANIC SUBSTANCE)
5015,fat_-60,,,data,323,FAT (ORGANIC SUBSTANCE)
5016,fat_-61,,,data,323,FAT (ORGANIC SUBSTANCE)
5017,fat_-62,,,data,323,FAT (ORGANIC SUBSTANCE)
5018,fat_-63,,,data,323,FAT (ORGANIC SUBSTANCE)
5019,fat_-64,,,data,323,FAT (ORGANIC SUBSTANCE)
5020,fat_-65,,,data,323,FAT (ORGANIC SUBSTANCE)
5021,fat_-66,,,data,323,FAT (ORGANIC SUBSTANCE)
5022,fat_-67,,,data,323,FAT (ORGANIC SUBSTANCE)
5023,fat_-68,,,data,323,FAT (ORGANIC SUBSTANCE)
5024,fat_-69,,,data,323,FAT (ORGANIC SUBSTANCE)
5025,fat_-70,,,data,323,FAT (ORGANIC SUBSTANCE)
5026,fat_-71,,,data,323,FAT (ORGANIC SUBSTANCE)
5027,fat_-72,,,data,323,FAT (ORGANIC SUBSTANCE)
5028,fat_-73,,,data,323,FAT (ORGANIC SUBSTANCE)
5029,fat_-74,,,data,323,FAT (ORGANIC SUBSTANCE)
5030,fat_-75,,,data,323,FAT (ORGANIC SUBSTANCE)
5031,fat_-76,,,data,323,FAT (ORGANIC SUBSTANCE)
5032,fat_-77,,,data,323,FAT (ORGANIC SUBSTANCE)
5033,fat_-78,,,data,323,FAT (ORGANIC SUBSTANCE)
5034,fat_-79,,,data,323,FAT (ORGANIC SUBSTANCE)
5035,fat_-80,,,data,323,FAT (ORGANIC SUBSTANCE)
5036,fat_-81,,,data,323,FAT (ORGANIC SUBSTANCE)
5037,fat_-82,,,data,323,FAT (ORGANIC SUBSTANCE)
5038,fat_-83,,,data,323,FAT (ORGANIC SUBSTANCE)
5039,fat_-84,,,data,323,FAT (ORGANIC SUBSTANCE)
5040,fat_-85,,,data,323,FAT (ORGANIC SUBSTANCE)
5041,fat_-86,,,data,323,FAT (ORGANIC SUBSTANCE)
5042,fat_-87,,,data,323,FAT (ORGANIC SUBSTANCE)
5043,fat_-88,,,data,323,FAT (ORGANIC SUBSTANCE)
5044,fat_-89,,,data,323,FAT (ORGANIC SUBSTANCE)
5045,fat_-90,,,data,323,FAT (ORGANIC SUBSTANCE)
5046,fat_-91,,,data,323,FAT (ORGANIC SUBSTANCE)
5047,fat_-92,,,data,323,FAT (ORGANIC SUBSTANCE)
5048,fat_-93,,,data,323,FAT (ORGANIC SUBSTANCE)
5049,fat_-94,,,data,323,FAT (ORGANIC SUBSTANCE)
5050,fat_-95,,,data,323,FAT (ORGANIC SUBSTANCE)
5051,fat_-96,,,data,323,FAT (ORGANIC SUBSTANCE)
5052,fat_-97,,,data,323,FAT (ORGANIC SUBSTANCE)
5053,fat_-98,,,data,323,FAT (ORGANIC SUBSTANCE)
5054,fat_-99,,,data,323,FAT (ORGANIC SUBSTANCE)
5055,fat_-100,,,data,323,FAT (ORGANIC SUBSTANCE)
